Bug_id,Timestamp,Summary
322061,2006-01-01 07:54:15,"whine.pl uses Perl ""T"" option, causes problems on Windows"
322082,2006-01-01 12:58:25,Clean up user selection SQL
322112,2006-01-02 02:08:50,Quicksearch option on the login screen points to a wrong page
322122,2006-01-02 07:22:12,"Crash if I close/query a bug, Bugzilla has suffered an internal error"
322190,2006-01-03 01:55:54,error in regex in .htaccess files
322212,2006-01-03 07:04:54,DERIVE_GROUPS_TABLES_ALREADY_LOCKED is ignored on 2.20+ when creating a new user object
322224,2006-01-03 08:37:52,editusers.cgi is changing the preferences to default when visited
322231,2006-01-05 00:28:21,When uploading a objective-c++ file (.mm) bugzilla sets the MIME type as application/octet-stream
322244,2006-01-03 11:35:28,cookies are incorrectly detainted when logging out
322304,2006-01-09 05:08:11,editparams.cgi won't save updates
322315,2006-01-04 00:00:19,If logged out $user->can_bless gives: Not an ARRAY reference at Bugzilla/User.pm line 643
322412,2006-01-04 14:43:36,Typo in error message
322462,2006-01-05 03:57:23,"LDAP Authentication: if LDAPbinddn is defined, re-bind as that user before searching"
322620,2006-01-06 14:53:26,Logging in with 'Remember my Login' deselected gives: Use of uninitialized value in string eq at Bugzilla/Auth/Login/WWW/CGI.pm line 83
322712,2006-01-07 16:15:20,cannot export local attachments
322728,2006-01-07 23:02:19,Oversize attachments lead to dead end
322745,2006-01-08 05:34:33,show_bug.cgi?format=multiple&id=144
322771,2006-01-11 16:41:45,PostgreSQL incorrectly detects that some summaries have control characters when they don't
322807,2006-01-09 00:16:14,"Spelling mistake in docs, section ""Searching for Bugs"""
322819,2006-01-09 06:02:40,bugzilla attachments pose risk for people with power(tm)
322837,2006-01-09 10:19:26,Unsubscribe from bug you've reported
322848,2006-02-19 09:32:29,Extremely slow performance with a lot of products (~1800) and security groups for each
322904,2006-01-10 01:47:16,"Fields in ""combo boxes"" don't update properly on Refresh or Reply"
322905,2006-01-10 01:49:25,midair collisions need to support line wrapping
322921,2006-01-10 05:27:48,A component was selected without a product being selected.
322954,2006-01-10 11:08:55,Unable to restore cached schema: Unrecognized character \xC9 at (eval 324) line 2.
322955,2006-01-10 11:12:23,bug_email and bug_email_append are broken and have no maintainer
322960,2006-01-10 11:47:11,Release Notes for Bugzilla 2.22rc1
322963,2006-01-10 12:01:27,Bugzilla does not list who gets an email after changing a flag
323031,2006-06-18 13:15:37,process_bug.cgi crashes when encountering a deleted user account and when strict_isolation is on
323070,2006-01-11 11:41:55,Internect Explorer - Advanced search for multiple component/version/target followed by Back Button doesn't remember pick lists
323100,2006-01-11 16:09:14,'Boundary' line removed from multipart message header in newchangedmail
323106,2006-01-12 10:55:53,create-series JavaScript Error: 'options' is null or not an object.
323113,2006-01-11 19:05:49,Adding group restrictions for the first times gives messages about groups you *aren't* selecting
323204,2006-01-12 10:57:37,Group Membership Display for User Defined Groups does not display inherited group members
323268,2006-01-12 22:29:34,Disable attachment editing buttons for Safari for OSX < 10.4
323293,2006-01-13 03:51:54,showing system error while searching all bugs in specific search.
323294,2006-01-13 04:04:03,Search result showing inproper date.
323392,2006-01-14 02:13:02,admin/classifications/select.html.tmpl has a link pointing to itself
323521,2006-07-13 23:01:23,editkeywords.cgi and describekeywords.cgi treat description differently as regards HTML
323524,2006-01-15 07:05:19,Make the group name an edit link
323525,2006-01-15 07:09:46,Style the group table as all other tables in Bugzilla
323563,2006-01-15 15:44:33,"""Mail Transport Config"" is a confusing name for a params section"
323575,2006-01-15 18:35:00,[PostgreSQL] sanitycheck.cgi?createmissinggroupcontrolmapentries=1 fails
323627,2006-01-16 07:17:40,"Setting ""loginnetmask"" to 0 does not disable IP checking"
323642,2006-01-16 09:51:51,Erro na instala��o do bugzilla
323644,2006-01-16 10:01:47,sdgagagh
323721,2006-01-19 14:14:25,[PostgreSQL] New charts feature crashes
323728,2006-01-16 23:14:14,Page show_bug.cgi crash if trying to view Long Format
323766,2006-01-17 06:13:13,Unable to add a new product
323769,2006-01-19 05:43:18,"""Invalid Column Name"" when exporting bug list to non-HTML format"
323905,2006-01-19 13:44:48,"""Group"" ""isn't equal to"" boolean chart does not work correctly"
323912,2006-01-18 11:06:38,"When a group cannot be deleted because it is in used, ThrowUserError() should be called"
323955,2006-01-18 15:31:37,deleting a group incorrectly checks for user group membership (miss group inheritance)
323967,2006-01-18 17:34:56,trivial UI changes for 2.20 (Selenium compat)
324098,2006-01-19 22:23:40,error at global.pl ---Tainted error
324099,2006-01-19 22:23:44,error at global.pl ---Tainted error
324101,2006-01-19 22:26:50,error at global.pl ---Tainted error
324235,2006-07-13 23:19:09,Poor description on show_all_products parameter
324243,2006-01-21 06:15:56,I loose my footer when clicking file while reviewing a patch
324248,2006-01-21 07:17:18,deleting a group doesn't remove entries in group_group_map correctly
324265,2006-01-21 11:06:44,can't filter bugs by a product name that contains comma.
324346,2006-01-22 10:28:38,"When 'shutdownhtml' is set, accessing foo.cgi?format=bar displays plain text instead of html"
324398,2006-01-23 02:14:53,Could not submit new bugs
324399,2006-01-23 02:21:34,"Rename the ""New"" link in the footer as ""New bug"" or ""Enter new bug"""
324413,2006-01-23 05:07:23,search for utf-8 string fails because of CAST AS BINARY
324687,2006-01-25 10:25:40,dsfsd
324689,2006-01-25 10:30:31,dsfsd
324734,2006-01-25 17:02:03,Bug list says there are 49 bugs but only displays one
324784,2006-01-26 03:14:46,editgroups.cgi should make sure groups it edits/removes are not used by editparams.cgi
324788,2006-01-26 04:15:29,query returns bugs of all products even for restricted users
324990,2006-01-27 14:45:53,Bug Activity Page does not use bug summary in page title
325037,2006-01-28 03:56:54,Remove whitespaces from the 'Long Format' button
325048,2006-01-28 07:48:55,[PostgreSQL] Changing the status of a bug from UNCO to NEW or ASSIGNED sets everconfirmed to 1 but leave the status as UNCONFIRMED
325079,2006-04-22 04:22:34,[SECURITY] The login form on the Bugzilla home page may redirect your login and password to another site
325195,2006-01-29 21:27:17,Error when confirming user deletion
325266,2006-01-30 12:55:58,Flags should have their descriptions as a tooltip
325309,2006-01-31 00:08:25,"The ""Enter a bug # or some search terms"" box uses wrong URL for show_bug.cgi"
325329,2006-01-31 06:45:39,User is missing in combobox when bug is reassigned
325361,2006-01-31 11:45:45,"When an event is scheduled at midnight of a given day of the month, one email is sent *each* hour of that day"
325448,2006-02-01 05:02:39,"In editparams.cgi, radio button and checkbox descriptions should be enclosed in <label></label> tags"
325452,2006-02-01 05:36:47,[Postgresql] Email is frequently sent to 'no one' if changing comment / status etc.
325579,2006-02-02 05:42:43,"changing a bug generates multiple ""Bug Processed"""
325691,2006-02-07 13:50:18,terms.Bugs not used everywhere in templates
325788,2006-02-03 11:30:55,Getting an odd datbase error on the main bage
325813,2006-02-03 16:21:02,running whine.pl spits out sql error when run
325922,2006-02-04 13:09:42,Mailing list archive and documentation search broken by server move
