Bug_id,Timestamp,Components
322061,2006-01-01 07:54:15,Whining
322082,2006-01-01 12:58:25,User Accounts
322112,2006-01-02 02:08:50,Query/Bug List
322122,2006-01-02 07:22:12,Creating/Changing Bugs
322190,2006-01-03 01:55:54,Installation & Upgrading
322212,2006-01-03 07:04:54,Bugzilla-General
322224,2006-01-03 08:37:52,Administration
322231,2006-01-03 09:50:41,Attachments & Requests
322244,2006-01-03 11:35:28,User Accounts
322304,2006-01-03 19:58:16,Administration
322315,2006-01-04 00:00:19,Bugzilla-General
322412,2006-01-04 14:43:36,Bugzilla-General
322462,2006-01-05 03:57:23,Administration
322620,2006-01-06 14:53:26,User Accounts
322712,2006-01-07 16:15:20,Attachments & Requests
322728,2006-01-07 23:08:09,Attachments & Requests
322745,2006-01-08 05:34:33,Creating/Changing Bugs
322771,2006-01-08 13:23:04,Installation & Upgrading
322807,2006-01-08 22:59:22,Documentation
322819,2006-01-09 06:02:40,Bugzilla-General
322837,2006-01-09 09:58:20,Email Notifications
322848,2006-01-09 12:56:54,Bugzilla-General
322904,2006-01-10 01:47:16,Creating/Changing Bugs
322905,2006-01-10 01:49:25,Creating/Changing Bugs
322921,2006-01-10 05:27:48,Attachments & Requests
322954,2006-01-10 11:08:55,Installation & Upgrading
322955,2007-08-20 18:27:30,Incoming Email
322960,2006-01-10 11:47:11,Documentation
322963,2006-01-10 12:01:27,Creating/Changing Bugs
323031,2006-01-11 03:17:38,Creating/Changing Bugs
323070,2006-01-11 11:41:55,Query/Bug List
323100,2006-01-11 16:09:14,Email Notifications
323106,2006-01-11 18:06:50,Reporting/Charting
323113,2006-01-11 19:05:49,Administration
323204,2006-01-12 10:57:37,Bugzilla-General
323268,2006-01-12 22:29:34,Attachments & Requests
323293,2006-01-13 03:51:54,Query/Bug List
323294,2006-01-13 04:04:03,Query/Bug List
323392,2006-01-14 02:13:02,User Interface
323521,2006-01-15 06:48:32,Bugzilla-General
323524,2006-01-15 07:05:19,User Interface
323525,2006-01-15 07:09:46,User Interface
323563,2006-01-15 15:44:33,Administration
323575,2006-01-15 18:35:00,Bugzilla-General
323627,2006-01-16 07:17:40,Administration
323642,2006-01-16 09:35:48,Installation & Upgrading
323644,2006-01-16 10:01:47,Installation & Upgrading
323721,2006-01-16 22:11:22,Reporting/Charting
323728,2006-01-16 23:14:14,Query/Bug List
323766,2006-01-17 06:13:13,Bugzilla-General
323769,2006-01-17 11:16:40,Query/Bug List
323905,2006-01-18 08:50:19,Query/Bug List
323912,2006-01-18 11:06:38,Administration
323955,2006-01-18 15:31:37,Administration
323967,2006-01-18 17:34:56,User Interface
324098,2006-01-19 22:23:40,Creating/Changing Bugs
324099,2006-01-19 22:23:44,Creating/Changing Bugs
324101,2006-01-19 22:26:50,Creating/Changing Bugs
324235,2006-07-13 23:19:09,Administration
324243,2006-01-21 06:15:56,User Interface
324248,2006-01-21 07:17:18,Administration
324265,2006-01-21 11:06:44,Query/Bug List
324346,2006-01-22 10:28:38,Bugzilla-General
324398,2006-01-23 02:14:53,Creating/Changing Bugs
324399,2006-01-23 02:21:34,User Interface
324413,2006-01-23 05:07:23,Database
324687,2006-01-25 10:25:40,Attachments & Requests
324689,2006-01-25 10:30:31,Attachments & Requests
324734,2006-01-25 17:02:03,Query/Bug List
324784,2006-01-26 03:14:46,Administration
324788,2006-01-26 04:15:29,Query/Bug List
324990,2006-01-27 14:45:53,User Interface
325037,2006-01-28 03:56:54,User Interface
325048,2006-01-28 07:16:14,Creating/Changing Bugs
325079,2006-01-28 14:45:49,User Accounts
325195,2006-01-29 21:27:17,User Accounts
325266,2006-01-30 12:55:58,User Interface
325309,2006-01-31 00:08:25,Query/Bug List
325329,2006-01-31 06:45:39,Creating/Changing Bugs
325361,2006-01-31 11:45:45,Whining
325448,2006-02-01 05:02:39,User Interface
325452,2006-02-01 05:36:47,Email Notifications
325579,2006-02-02 05:42:43,Creating/Changing Bugs
325691,2006-02-02 19:17:40,User Interface
325788,2006-02-03 11:30:55,Database
325813,2006-02-03 16:21:02,Whining
325922,2006-02-04 13:09:42,bugzilla.org
326060,2006-02-06 00:11:48,Bugzilla-General
