Bug_id,Timestamp,os
322061,2006-01-01 07:54:15,Windows XP
322082,2006-01-01 12:58:25,All
322112,2006-01-02 02:08:50,Linux
322122,2006-01-02 07:22:12,Windows XP
322190,2006-01-03 01:55:54,Linux
322212,2006-01-03 07:04:54,All
322224,2006-01-03 08:37:52,Linux
322231,2006-01-03 09:50:41,Mac OS X
322244,2006-01-03 11:35:28,All
322304,2006-01-03 19:58:16,Windows XP
322315,2006-01-04 00:00:19,All
322412,2006-01-04 14:43:36,Linux
322462,2006-01-05 03:57:23,All
322620,2006-01-06 14:53:26,All
322712,2006-01-07 16:15:20,All
322728,2006-01-07 23:02:19,Windows XP
322745,2006-01-08 05:34:33,Windows XP
322771,2006-01-08 13:23:04,All
322807,2006-01-08 22:59:22,All
322819,2006-01-09 06:02:40,Linux
322837,2006-01-09 09:58:20,Windows XP
322848,2006-01-09 12:56:54,Windows 2000
322904,2006-01-10 01:47:16,Windows XP
322905,2006-01-10 01:49:25,Mac OS X
322921,2006-01-10 05:27:48,Mac OS X
322954,2006-01-10 11:08:55,Linux
322955,2006-01-10 11:12:23,All
322960,2006-01-10 11:47:11,All
322963,2006-01-10 12:01:27,All
323031,2006-01-11 03:17:38,All
323070,2006-01-11 11:41:55,Linux
323100,2006-01-11 16:09:14,All
323106,2006-01-11 18:06:50,Windows XP
323113,2006-01-11 19:05:49,Windows XP
323204,2006-01-12 10:57:37,Windows XP
323268,2006-01-12 22:29:34,Mac OS X
323293,2006-01-13 03:51:54,Windows 2000
323294,2006-01-13 04:04:03,Windows 2000
323392,2006-01-14 02:13:02,All
323521,2006-01-15 06:48:32,All
323524,2006-01-15 07:05:19,All
323525,2006-01-15 07:09:46,All
323563,2006-01-15 15:44:33,All
323575,2006-01-15 18:35:00,All
323627,2006-01-16 07:17:40,Windows XP
323642,2006-01-16 09:35:48,Windows XP
323644,2006-01-16 10:01:47,Windows XP
323721,2006-01-16 22:11:22,All
323728,2006-01-16 23:14:14,Windows XP
323766,2006-01-17 06:13:13,Windows XP
323769,2006-01-17 06:38:10,Linux
323905,2006-01-18 08:50:19,All
323912,2006-01-18 11:06:38,All
323955,2006-01-18 15:31:37,All
323967,2006-01-18 17:34:56,All
324098,2006-01-19 22:23:40,Windows 2000
324099,2006-01-19 22:23:44,Windows 2000
324101,2006-01-19 22:26:50,Windows 2000
324235,2006-01-21 03:59:11,Linux
324243,2006-01-21 06:15:56,Linux
