Bug_id,Timestamp,Resolution
322045,2006-01-02 16:45:12,FIXED
322051,2006-04-12 10:21:29,FIXED
322052,2006-01-02 06:54:41,FIXED
322056,2008-04-28 14:17:10,INVALID
322063,2008-10-17 15:11:42,INCOMPLETE
322079,2006-01-01 12:48:09,DUPLICATE
322084,2006-06-19 04:14:42,FIXED
322106,2006-02-05 07:25:47,FIXED
322129,2006-01-02 13:02:32,DUPLICATE
322131,2009-07-28 04:31:07,WORKSFORME
322135,2006-08-11 23:43:40,FIXED
322143,2009-01-23 18:30:14,WORKSFORME
322152,2006-01-02 14:30:39,DUPLICATE
322154,2010-02-09 10:31:16,INVALID
322161,2006-02-05 12:37:21,DUPLICATE
322162,2006-02-20 14:03:09,WORKSFORME
322170,2007-08-02 11:22:18,FIXED
322172,2007-02-01 23:28:49,FIXED
322175,2012-08-31 14:17:50,WONTFIX
322177,2006-04-17 21:28:43,WONTFIX
322185,2006-01-07 11:55:31,FIXED
322202,2008-01-26 19:18:00,FIXED
322203,2012-10-21 09:29:23,WORKSFORME
322207,2006-09-12 23:28:53,FIXED
322215,2006-01-10 13:41:02,FIXED
322236,2008-10-21 02:36:58,DUPLICATE
322238,2006-01-05 06:54:31,FIXED
322270,2009-10-12 21:42:52,WONTFIX
322293,2006-01-06 12:17:42,FIXED
322309,2006-05-15 21:57:53,WORKSFORME
322312,2006-01-09 12:54:54,FIXED
322314,2006-01-09 16:56:04,FIXED
322317,2007-11-15 13:23:55,FIXED
322318,2006-02-21 13:16:40,INVALID
322319,2006-01-05 04:13:20,FIXED
322321,2006-01-16 03:54:49,DUPLICATE
322331,2006-02-19 21:57:17,INVALID
322338,2006-01-04 09:27:14,INVALID
322345,2006-11-29 11:19:57,FIXED
322348,2006-03-15 16:36:01,FIXED
322351,2006-01-05 09:55:04,FIXED
322376,2007-12-04 14:21:46,FIXED
322389,2006-03-21 00:38:45,DUPLICATE
322394,2006-05-16 12:24:49,DUPLICATE
322403,2006-01-29 14:31:07,WORKSFORME
322407,2006-01-04 14:29:41,DUPLICATE
322414,2006-02-02 10:29:32,FIXED
322417,2006-01-07 04:36:44,DUPLICATE
322424,2006-06-11 10:38:07,FIXED
322429,2006-01-11 21:19:48,FIXED
322430,2006-01-09 11:54:54,FIXED
322436,2007-06-06 18:17:48,FIXED
322443,2006-12-08 14:55:54,FIXED
322450,2006-01-05 07:10:34,FIXED
322452,2006-01-05 14:15:36,INVALID
322453,2006-08-15 00:40:48,WORKSFORME
322461,2006-01-05 18:13:00,FIXED
322463,2006-01-13 02:38:26,INVALID
322480,2006-01-11 06:25:34,FIXED
322484,2006-01-06 01:01:05,INVALID
322496,2006-01-05 09:46:27,INVALID
322499,2006-01-06 17:59:12,FIXED
322504,2006-01-06 11:34:21,DUPLICATE
322512,2007-01-18 22:46:42,FIXED
322513,2006-01-30 12:30:44,FIXED
322528,2006-08-01 05:37:32,DUPLICATE
322530,2006-01-08 19:44:53,DUPLICATE
322547,2007-01-04 10:43:15,FIXED
322549,2006-01-05 22:56:52,DUPLICATE
322561,2006-01-06 04:20:31,DUPLICATE
322565,2006-04-28 08:49:02,WORKSFORME
322567,2007-06-06 03:19:33,WORKSFORME
322570,2006-01-06 16:49:08,FIXED
322574,2011-09-27 11:45:09,WONTFIX
322578,2006-02-23 10:31:26,FIXED
322581,2006-04-14 05:14:18,WORKSFORME
322588,2009-06-13 13:36:55,FIXED
322597,2011-01-28 13:36:47,DUPLICATE
322609,2008-07-06 10:18:35,DUPLICATE
322612,2006-01-06 14:16:23,DUPLICATE
322636,2006-06-02 11:33:58,FIXED
322647,2006-05-29 11:18:53,WORKSFORME
322652,2006-01-13 14:19:27,FIXED
322656,2006-01-08 15:37:10,FIXED
322657,2012-07-31 10:32:22,INVALID
322668,2006-01-07 09:13:18,FIXED
322672,2006-01-07 09:39:01,DUPLICATE
322678,2006-02-08 19:37:51,FIXED
322680,2007-12-10 08:10:53,WORKSFORME
322683,2006-01-10 12:59:31,FIXED
322685,2006-12-25 01:25:04,WORKSFORME
322686,2008-09-21 12:33:48,FIXED
322688,2006-01-15 15:18:37,FIXED
322689,2007-08-14 11:52:48,FIXED
322697,2006-01-07 19:26:35,INVALID
322700,2009-12-23 18:27:09,WORKSFORME
322701,2006-01-13 20:30:46,FIXED
322707,2006-08-07 20:17:50,WONTFIX
322720,2006-04-18 15:34:26,FIXED
322724,2008-04-07 05:11:53,FIXED
322725,2006-01-15 04:31:47,FIXED
322726,2007-10-18 19:03:30,WORKSFORME
322727,2006-09-28 09:45:46,FIXED
322732,2008-10-18 08:50:19,WORKSFORME
