Bug_id,Timestamp,Components
322045,2006-01-01 01:34:48,JavaScript Engine
322051,2006-01-01 03:08:39,Widget: BeOS
322052,2006-01-01 03:11:58,Layout: Misc Code
322056,2006-01-03 20:11:08,XPConnect
322063,2006-01-01 22:51:40,Networking
322079,2008-07-31 01:19:58,XUL
322084,2006-01-01 13:50:46,Selection
322106,2006-01-01 23:51:06,History: Global
322129,2006-01-02 13:00:49,JavaScript Engine
322131,2006-01-02 09:32:57,Installer: XPInstall Engine
322135,2006-01-02 10:56:40,JavaScript Engine
322143,2006-01-03 21:24:05,XPConnect
322152,2006-01-02 14:27:10,JavaScript Engine
322154,2006-01-02 15:04:03,XPCOM
322161,2006-01-02 16:04:24,SVG
322162,2008-07-31 01:19:58,XUL
322170,2006-01-02 17:27:21,Plug-ins
322172,2006-01-02 19:25:27,Build Config
322175,2006-01-02 19:44:55,JavaScript Engine
322177,2006-01-02 19:49:59,JavaScript Engine
322185,2006-01-02 23:29:58,SVG
322202,2006-01-03 06:00:52,Editor
322203,2006-01-18 11:39:30,Print Preview
322207,2006-01-03 06:28:14,Editor
322215,2006-01-10 15:15:38,SVG
322236,2006-01-03 11:19:04,Layout: Tables
322238,2006-01-03 11:22:27,XForms
322270,2006-01-03 14:31:59,HTML: Parser
322293,2006-01-03 17:39:38,Build Config
322309,2006-01-03 21:51:11,Layout: Form Controls
322312,2006-01-03 23:09:22,JavaScript Engine
322314,2006-01-06 19:14:44,XPCOM
322317,2006-12-01 07:00:53,DOM: Mozilla Extensions
322318,2006-02-19 22:04:25,Printing
322319,2006-01-04 01:18:20,Plug-ins
322321,2006-01-04 12:27:14,Style System (CSS)
322331,2006-01-05 15:15:29,Layout
322338,2006-01-04 03:33:48,Event Handling
322345,2006-01-23 07:41:11,SVG
322348,2006-01-04 05:49:33,Layout
322351,2006-01-04 09:39:10,Spelling checker
322376,2006-01-04 09:34:52,Canvas: 2D
322389,2006-01-05 08:18:31,Plug-ins
322394,2006-04-30 19:46:25,Layout
322403,2006-01-05 07:04:32,Printing
322407,2006-01-04 14:29:41,Security: UI
322414,2006-01-16 10:41:44,Plug-ins
