Bug_id,Timestamp,Os
322045,2006-01-01 01:34:48,All
322051,2006-01-01 03:08:39,BeOS
322052,2006-01-01 03:11:58,All
322056,2006-01-01 04:42:52,Windows XP
322063,2006-01-01 08:28:35,Windows XP
322079,2006-01-01 12:44:52,Mac OS X
322084,2006-01-01 13:50:46,Windows XP
322106,2006-01-01 23:51:06,All
322129,2006-01-02 09:21:50,Windows XP
322131,2006-01-02 09:32:57,Windows XP
322135,2006-01-02 10:56:40,Windows XP
322143,2006-01-02 13:09:58,Windows XP
322152,2006-01-02 14:27:10,All
322154,2006-01-02 15:04:03,Windows XP
322161,2006-01-02 16:04:24,Windows XP
322162,2006-01-02 16:11:53,Windows XP
322170,2007-07-20 09:08:52,Mac OS X
322172,2006-01-02 19:25:27,Linux
322175,2006-01-02 19:44:55,Mac OS X
322177,2006-01-02 19:49:59,MacOS X
322185,2006-01-02 23:29:58,Mac OS X
322202,2006-01-03 05:43:04,Windows XP
322203,2006-01-03 05:45:47,Windows 2000
322207,2006-01-03 06:28:14,Windows XP
322215,2006-01-03 07:46:07,Linux
322236,2006-01-03 11:11:43,Windows XP
322238,2006-01-03 11:22:27,All
322270,2006-01-03 14:31:59,All
322293,2006-01-03 17:39:38,All
322309,2006-01-03 21:51:11,Linux
322312,2006-01-03 23:09:22,All
322314,2006-01-03 23:43:13,Windows XP
322317,2006-01-04 00:56:38,Windows XP
322318,2006-01-04 01:07:46,Linux
322319,2006-01-04 01:18:20,Windows XP
322321,2006-01-04 01:24:37,Windows XP
322331,2006-01-04 02:48:56,Linux
322338,2006-01-04 03:33:48,Windows XP
322345,2006-01-04 05:10:17,Linux
322348,2006-01-04 05:49:33,Windows XP
322351,2006-01-04 06:16:08,All
322376,2006-01-04 09:34:52,All
322389,2006-01-04 10:40:01,Windows XP
322394,2006-01-04 11:00:58,Windows Server 2003
322403,2006-01-04 12:33:28,Linux
322407,2006-01-04 13:22:45,Windows XP
322414,2006-01-04 14:47:43,Windows XP
322417,2006-01-04 15:23:38,Windows XP
322424,2006-01-04 15:57:38,Windows XP
322429,2006-01-04 16:58:52,Windows XP
322430,2006-01-04 17:44:44,All
322436,2006-01-04 19:38:39,Mac OS X 10.2
322443,2006-01-04 22:22:30,Windows XP
322450,2006-01-05 00:10:18,SunOS
322452,2006-01-05 00:33:04,Windows XP
322453,2006-01-05 00:50:28,Linux
322461,2006-01-05 03:45:42,Windows 2000
322463,2006-01-05 04:01:29,Windows XP
322480,2006-01-05 06:06:53,Windows XP
322484,2006-01-05 06:31:07,Windows XP
322496,2006-01-05 09:42:16,All
322499,2006-01-05 10:04:08,Windows XP
322504,2006-01-05 10:49:23,Windows XP
322512,2006-01-05 11:46:50,Windows XP
322513,2006-01-05 12:02:12,Windows XP
322528,2006-01-05 15:47:02,All
322530,2006-01-05 16:18:02,Windows XP
322547,2006-01-05 22:14:27,Linux
322549,2006-01-05 22:22:54,SunOS
322561,2006-01-06 03:20:54,Windows XP
322565,2006-01-06 04:51:38,Windows XP
322567,2006-01-06 05:33:42,Windows XP
322570,2006-01-06 06:41:13,Linux
322574,2006-01-06 07:34:27,Windows XP
322578,2006-01-06 07:56:46,Mac OS X
322581,2006-01-06 08:30:44,Windows XP
322588,2006-01-06 09:58:26,Windows XP
322597,2006-01-06 11:21:14,Linux
322609,2006-01-06 13:24:01,Windows XP
322612,2006-01-06 14:11:20,All
322636,2006-01-06 18:19:27,Windows XP
322647,2006-01-06 20:58:11,Windows XP
322652,2006-01-07 00:31:55,Windows XP
322656,2006-01-07 02:17:36,Windows XP
322657,2006-01-07 02:47:42,Windows XP
322668,2006-01-07 06:24:58,Linux
322672,2006-01-07 07:08:49,All
322678,2006-01-07 08:03:48,Windows XP
322680,2006-01-07 08:20:23,Windows XP
322683,2006-01-07 08:24:12,All
322685,2006-01-07 08:37:58,Windows XP
322686,2006-01-07 09:00:36,Mac OS X
322688,2006-01-07 09:49:27,Windows XP
322689,2006-01-07 10:06:54,Windows XP
322697,2006-01-07 12:19:55,Windows 2000
322700,2006-01-07 13:21:53,Windows XP
322701,2006-01-07 13:21:55,Windows XP
322707,2006-01-07 14:06:47,All
322720,2006-01-07 18:52:19,Windows XP
322724,2006-01-07 19:37:27,Windows XP
322725,2006-01-07 22:27:56,MacOS X
322726,2006-01-07 22:55:30,Mac OS X
322727,2006-01-07 22:58:40,OS/2
322732,2006-01-08 00:12:04,Windows XP
322740,2006-01-08 04:10:46,Windows XP
322744,2006-01-08 05:27:04,Windows 2000
322747,2006-01-08 07:13:37,Windows XP
322754,2006-01-08 08:00:38,Windows XP
322764,2006-01-08 12:13:45,Windows 98
322767,2006-01-08 12:52:35,All
322773,2006-01-08 14:31:38,Mac OS X
322774,2006-01-08 14:31:40,Mac OS X
322776,2006-01-08 14:48:20,Windows 2000
322779,2006-01-08 15:27:44,Mac OS X
322780,2006-01-08 15:45:23,Mac OS X
322783,2006-01-08 16:09:23,Mac OS X
322784,2006-01-08 16:16:07,Mac OS X
322786,2006-01-08 16:28:41,MacOS X
322798,2006-01-08 20:51:30,Windows XP
322804,2006-01-08 22:13:03,Linux
322806,2006-01-08 22:45:02,Linux
322812,2006-01-09 03:36:50,Windows XP
322813,2006-01-09 03:44:43,Windows XP
322820,2006-01-09 06:04:27,Windows XP
322824,2006-01-09 07:18:43,All
322836,2006-01-09 09:53:30,All
322838,2006-01-09 10:00:13,Windows XP
322860,2006-01-09 14:29:11,Linux
322879,2006-01-09 17:06:00,All
322881,2006-01-09 17:27:07,Windows XP
322889,2006-01-09 20:21:42,All
322894,2006-01-09 22:28:43,All
322908,2006-01-10 02:19:37,Windows XP
322914,2006-01-10 04:08:00,Windows 2000
322922,2006-01-10 05:30:34,All
322925,2006-01-10 06:29:00,Windows XP
322926,2006-01-10 06:29:09,All
322930,2006-01-10 06:54:27,Windows XP
322936,2006-01-10 07:37:22,All
322938,2006-01-10 08:03:59,All
322947,2006-01-10 09:21:35,Windows XP
322957,2006-01-10 11:23:02,All
322971,2006-01-10 12:39:22,All
322975,2006-01-10 13:02:52,All
322976,2006-01-10 13:16:10,Windows 2000
322982,2006-01-10 13:23:02,Linux
322985,2006-01-10 13:48:24,All
322993,2006-01-10 14:30:03,Windows XP
322996,2006-01-10 14:54:38,All
322999,2006-01-10 15:36:28,Windows XP
323001,2006-01-10 15:57:07,All
323006,2006-01-10 17:44:42,Windows 2000
323010,2006-01-10 19:36:57,Windows XP
323014,2006-01-10 20:56:35,Windows ME
323022,2006-01-11 00:22:59,Windows XP
323028,2006-01-11 01:49:42,Windows XP
323032,2006-01-11 03:59:19,Windows XP
323040,2006-01-11 05:37:20,Mac OS X
323044,2006-01-11 06:35:42,Windows 2000
323052,2006-01-11 08:41:45,Windows XP
323062,2006-01-11 10:15:29,Mac OS X
323065,2006-01-11 10:58:40,Windows XP
