Bug_id,Timestamp,Resolution
322043,2006-02-07 14:16:09,DUPLICATE
322054,2008-04-21 09:28:12,WORKSFORME
322057,2006-01-01 06:19:56,DUPLICATE
322058,2006-01-01 12:24:31,DUPLICATE
322065,2006-01-01 09:27:29,DUPLICATE
322067,2007-07-04 05:35:04,INCOMPLETE
322075,2006-01-01 12:47:01,DUPLICATE
322077,2006-10-31 05:56:26,FIXED
322080,2009-08-26 13:06:30,INCOMPLETE
322081,2007-06-06 06:25:48,INCOMPLETE
322094,2006-01-02 10:00:16,INVALID
322096,2007-06-06 12:32:56,WORKSFORME
322101,2006-01-02 00:37:00,DUPLICATE
322108,2007-07-04 05:35:51,INCOMPLETE
322114,2010-05-22 15:13:06,INCOMPLETE
322117,2006-01-08 21:02:27,DUPLICATE
322119,2006-01-02 05:49:01,WORKSFORME
322120,2006-01-02 13:12:50,DUPLICATE
322125,2006-01-02 08:40:49,DUPLICATE
322130,2006-01-02 19:08:14,DUPLICATE
322132,2006-01-02 09:58:09,DUPLICATE
322137,2007-09-11 02:40:09,INCOMPLETE
322141,2006-04-08 17:05:52,WORKSFORME
322142,2006-01-02 13:03:54,DUPLICATE
322146,2007-06-04 04:59:53,INCOMPLETE
322147,2006-01-06 04:38:51,WORKSFORME
322151,2006-04-04 04:07:35,DUPLICATE
322159,2006-04-08 17:03:54,WORKSFORME
322166,2007-01-24 05:00:56,DUPLICATE
322168,2006-01-17 22:13:09,DUPLICATE
322169,2006-07-19 03:52:41,FIXED
322178,2007-06-06 06:45:46,WORKSFORME
322179,2007-08-31 13:51:02,WORKSFORME
322184,2006-01-03 02:29:41,WORKSFORME
322188,2006-01-05 08:32:59,DUPLICATE
322189,2006-01-03 18:53:20,WORKSFORME
322191,2006-01-03 02:41:48,WORKSFORME
322197,2006-01-03 18:39:50,INVALID
322206,2012-09-28 20:22:35,FIXED
322211,2006-01-03 07:22:18,DUPLICATE
322213,2006-01-03 11:27:36,DUPLICATE
322216,2006-01-03 11:51:44,DUPLICATE
322220,2006-01-03 19:09:24,INVALID
322223,2006-01-03 08:57:16,DUPLICATE
322225,2006-01-03 18:47:28,INVALID
322228,2006-01-03 09:13:16,DUPLICATE
322235,2006-01-03 18:40:58,INVALID
322250,2006-01-03 16:22:41,DUPLICATE
322257,2007-06-07 06:06:53,WORKSFORME
322262,2006-01-03 14:25:19,DUPLICATE
322268,2008-12-10 11:46:53,INCOMPLETE
322269,2010-05-15 07:50:01,INCOMPLETE
322275,2006-01-03 19:45:14,DUPLICATE
322279,2006-01-03 17:01:03,INVALID
322282,2007-07-25 05:03:30,INCOMPLETE
322289,2006-03-20 13:09:08,WONTFIX
322290,2006-01-27 12:24:03,FIXED
322291,2006-01-03 19:01:33,INVALID
322294,2007-07-04 05:36:50,INCOMPLETE
322296,2006-01-03 19:22:37,DUPLICATE
322298,2006-11-26 04:39:07,INVALID
322302,2006-01-14 13:25:40,WORKSFORME
322306,2006-01-03 22:10:13,INVALID
322307,2006-02-11 21:59:49,WORKSFORME
322311,2006-01-03 23:32:48,WORKSFORME
322313,2006-04-08 17:02:02,WORKSFORME
322336,2007-06-18 06:06:09,WORKSFORME
322349,2006-01-04 06:49:56,DUPLICATE
322353,2006-01-08 21:09:55,DUPLICATE
322357,2006-01-04 22:06:09,DUPLICATE
322365,2007-09-27 07:53:23,WORKSFORME
322369,2006-01-17 16:05:59,FIXED
322371,2006-01-04 10:10:05,FIXED
322375,2007-07-04 05:50:15,WORKSFORME
322378,2006-01-04 10:13:00,FIXED
322379,2006-01-05 16:39:04,FIXED
322384,2006-01-04 11:44:29,DUPLICATE
322387,2006-01-04 18:25:40,INVALID
322390,2006-01-04 11:52:27,FIXED
322396,2010-05-22 15:02:21,INCOMPLETE
322397,2009-12-24 10:17:01,INCOMPLETE
322405,2006-01-04 13:02:01,DUPLICATE
322411,2006-01-04 14:48:02,DUPLICATE
322420,2006-01-05 12:54:25,INVALID
322421,2006-04-30 19:43:36,WORKSFORME
322425,2006-01-04 16:23:54,DUPLICATE
322428,2006-01-04 16:59:37,DUPLICATE
322431,2006-02-19 11:48:49,DUPLICATE
322433,2006-05-08 10:45:36,INVALID
322444,2008-10-04 12:05:26,INCOMPLETE
322447,2010-04-25 23:48:46,WORKSFORME
322448,2006-01-05 08:27:17,WORKSFORME
322456,2007-06-25 01:14:13,WORKSFORME
322460,2006-09-07 05:00:42,WORKSFORME
322478,2007-08-30 10:37:55,INCOMPLETE
322481,2006-01-05 06:46:23,DUPLICATE
322487,2006-01-05 07:04:16,DUPLICATE
322489,2006-01-05 07:47:08,DUPLICATE
322491,2007-07-04 05:50:31,WORKSFORME
322502,2006-01-07 09:41:17,INVALID
322503,2006-01-09 11:47:56,DUPLICATE
322506,2006-01-05 11:35:38,DUPLICATE
322507,2006-01-22 13:44:06,FIXED
322511,2011-05-31 00:43:09,WORKSFORME
322516,2006-01-07 22:00:53,WORKSFORME
322517,2010-05-22 15:02:41,INCOMPLETE
322519,2010-05-22 15:12:26,INCOMPLETE
322521,2006-01-05 15:05:32,WORKSFORME
322523,2006-01-06 13:31:39,DUPLICATE
322532,2007-06-06 07:34:03,WORKSFORME
322538,2006-12-14 06:40:28,WORKSFORME
322539,2010-05-15 07:54:43,INCOMPLETE
322540,2006-01-06 15:06:34,DUPLICATE
322545,2006-01-05 21:24:33,DUPLICATE
322546,2006-04-27 18:29:47,FIXED
322551,2006-01-06 04:19:07,INVALID
322552,2006-01-06 03:37:06,DUPLICATE
322554,2007-06-27 06:14:18,INVALID
322556,2006-04-07 23:45:36,WORKSFORME
322557,2006-01-06 01:21:10,INVALID
322559,2006-01-06 04:21:27,DUPLICATE
322563,2007-07-04 05:51:43,WORKSFORME
322579,2006-01-06 08:01:37,DUPLICATE
322582,2007-06-07 13:08:41,INVALID
322583,2006-01-06 09:02:40,INVALID
322586,2007-06-04 04:09:44,WORKSFORME
322587,2006-01-09 20:20:01,WORKSFORME
322601,2009-02-24 00:28:11,INCOMPLETE
322610,2007-04-17 11:04:09,FIXED
322614,2006-01-08 14:33:51,INVALID
322616,2007-07-04 05:52:14,WORKSFORME
322623,2006-01-06 15:10:26,DUPLICATE
322629,2006-04-08 17:00:06,WORKSFORME
322630,2006-01-06 16:52:06,DUPLICATE
322631,2006-01-06 17:10:17,DUPLICATE
322632,2006-04-08 16:55:24,WORKSFORME
322633,2006-01-07 02:53:29,INVALID
322640,2006-01-07 00:38:19,DUPLICATE
322643,2007-08-12 19:57:04,WORKSFORME
322645,2008-03-08 02:58:44,WORKSFORME
322648,2010-11-15 09:52:51,INCOMPLETE
322650,2007-09-27 05:09:45,WORKSFORME
322651,2007-06-06 20:36:23,WORKSFORME
322659,2006-01-08 06:04:55,DUPLICATE
322662,2006-09-22 23:10:21,INVALID
322664,2007-04-03 11:56:48,DUPLICATE
322665,2006-01-07 06:22:21,DUPLICATE
322669,2006-01-07 08:10:51,DUPLICATE
322671,2006-01-07 08:21:57,DUPLICATE
322674,2006-09-25 18:55:48,INVALID
322675,2007-06-27 05:05:52,INCOMPLETE
322676,2006-01-14 16:30:04,INVALID
322679,2006-01-07 09:09:39,DUPLICATE
322681,2006-01-07 10:31:29,INVALID
