Bug_id,Timestamp,os
322043,2005-12-31 23:23:11,Mac OS X
322054,2006-01-01 04:18:10,Mac OS X
322057,2006-01-01 04:54:31,Mac OS X
322058,2006-01-01 05:00:59,Windows 2000
322065,2006-01-01 08:43:56,Windows XP
322067,2006-01-01 09:10:56,Windows XP
322075,2006-01-01 11:08:45,Windows 98
322077,2006-01-01 12:08:31,All
322080,2006-01-01 12:52:24,Windows XP
322081,2006-01-01 12:54:33,Linux
322094,2006-01-01 17:04:36,FreeBSD
322096,2006-01-01 17:22:36,Windows XP
322101,2006-01-01 21:48:38,Windows XP
322108,2006-01-02 00:30:19,Windows XP
322114,2006-01-02 02:31:36,Windows XP
322117,2006-01-02 02:59:42,All
322119,2006-01-02 05:36:23,Windows XP
322120,2006-01-02 07:00:00,All
322125,2006-01-02 08:39:06,Windows XP
322130,2006-01-02 09:26:25,Windows XP
322132,2006-01-02 09:51:28,All
322137,2006-01-02 11:35:41,Windows XP
322141,2006-01-02 13:00:33,Windows XP
322142,2006-01-02 13:03:01,Windows XP
322146,2006-01-02 13:30:30,Linux
322147,2006-01-02 13:41:34,Linux
322151,2006-01-02 14:19:25,Windows XP
322159,2006-01-02 15:45:06,Windows 98
322166,2006-01-02 17:11:01,Windows 2000
322168,2006-01-02 17:25:29,Windows XP
322169,2006-01-02 17:25:41,Windows XP
322178,2006-01-02 20:09:01,Windows XP
322179,2006-01-02 20:27:15,Windows XP
322184,2006-01-02 23:14:26,Windows 98
322188,2006-01-03 01:28:39,Windows XP
322189,2006-01-03 01:53:26,Windows XP
322191,2006-01-03 02:18:51,Windows XP
322197,2006-01-03 03:46:27,Windows XP
322206,2011-04-21 11:19:37,Windows 7
322211,2006-01-03 06:51:16,Windows XP
322213,2006-01-03 07:07:42,Mac OS X
322216,2006-01-03 07:55:33,Windows XP
322220,2006-01-03 08:14:29,Windows XP
322223,2006-01-03 08:37:11,Mac OS X
322225,2006-01-03 08:38:06,Windows XP
322228,2006-01-03 09:10:41,Mac OS X
322235,2006-01-03 10:54:37,Windows XP
322250,2006-01-03 12:08:47,Windows XP
322257,2006-01-03 12:50:53,Linux
322262,2006-01-03 13:23:48,Windows XP
322268,2006-01-03 14:28:45,Windows XP
322269,2006-01-03 14:29:00,Windows XP
322275,2006-01-03 15:58:56,Mac OS X
322279,2006-01-03 16:07:00,Mac OS X
322282,2006-01-03 20:14:43,Windows 98
322289,2006-01-03 16:56:09,All
322290,2006-01-03 17:03:44,All
322291,2006-01-03 19:01:33,Linux
322294,2006-01-03 17:40:12,Mac OS X
322296,2006-01-03 18:50:53,Windows XP
322298,2006-01-03 19:04:15,Windows XP
322302,2006-01-03 19:50:51,Mac OS X
322306,2006-01-03 20:46:07,Windows XP
322307,2006-01-03 21:36:10,Linux
322311,2006-01-03 23:09:16,Windows XP
322313,2006-01-03 23:30:21,Windows XP
322336,2006-01-04 03:16:04,Windows NT
322349,2006-01-04 06:08:21,Linux
322353,2006-01-04 06:42:31,Mac OS X
322357,2006-01-04 07:00:35,Mac OS X
322365,2006-01-04 08:01:38,Linux
322369,2006-01-04 08:35:13,All
322371,2006-01-04 09:09:25,All
322375,2006-01-04 09:33:00,Mac OS X
322378,2006-01-04 09:37:10,All
322379,2006-01-04 09:41:52,All
322384,2006-01-04 10:26:26,Windows XP
322387,2006-01-04 10:32:22,Windows XP
322390,2006-01-04 10:43:54,All
322396,2006-01-04 11:21:23,Linux
322397,2006-01-04 11:26:44,Linux
322405,2006-01-04 12:58:56,Windows XP
322411,2006-01-04 14:39:19,Windows 2000
322420,2006-01-04 15:37:30,Windows 2000
322421,2006-01-04 15:38:10,Windows XP
322425,2006-01-04 16:10:06,Windows XP
322428,2006-01-04 16:54:16,Windows XP
322431,2006-01-04 18:22:16,Mac OS X
322433,2006-01-04 18:53:56,Windows 2000
322444,2006-01-04 22:35:36,Mac OS X
322447,2006-01-04 23:37:06,Windows XP
322448,2006-01-04 23:56:31,Windows XP
322456,2006-01-05 01:41:18,Mac OS X
322460,2006-01-05 03:38:22,Windows 98
322478,2006-01-05 05:57:55,Windows XP
322481,2006-01-05 06:23:11,Windows 2000
322487,2006-01-05 06:59:55,Windows XP
322489,2006-01-05 07:16:56,Windows XP
322491,2006-01-05 07:31:39,Windows 2000
322502,2006-01-05 10:42:37,Windows XP
322503,2006-01-05 10:43:41,Windows XP
322506,2006-01-05 11:18:28,Windows XP
322507,2006-01-05 11:21:32,Mac OS X
322511,2006-01-05 11:32:44,Windows XP
322516,2006-01-05 12:33:18,Linux
322517,2006-01-05 12:35:01,Windows XP
322519,2006-01-05 12:56:02,Linux
322521,2006-01-05 13:51:48,Windows XP
322523,2006-01-05 14:22:42,Linux
322532,2006-01-05 17:19:01,Windows XP
322538,2006-01-05 19:20:31,Windows XP
322539,2006-01-05 19:44:57,Windows XP
322540,2006-01-05 20:33:11,All
322545,2006-01-05 21:21:57,Mac OS X
322546,2006-01-05 21:33:58,All
322551,2006-01-05 23:10:21,Windows XP
322552,2006-01-06 00:16:10,Windows XP
322554,2006-01-06 00:37:23,Linux
322556,2006-01-06 01:13:50,Linux
322557,2006-01-06 01:14:40,Windows XP
322559,2006-01-06 01:32:46,Mac OS X
322563,2006-01-06 04:17:58,Windows XP
322579,2006-01-06 07:58:13,Mac OS X
322582,2006-01-06 08:35:11,Mac OS X
322583,2006-01-06 08:56:42,Windows XP
322586,2006-01-06 09:26:30,Windows XP
322587,2006-01-06 09:43:35,Windows XP
322601,2006-01-06 12:10:54,Windows XP
322610,2006-01-06 13:53:39,All
322614,2006-01-06 14:12:23,Windows XP
322616,2006-01-06 14:26:34,Mac OS X
322623,2006-01-06 15:06:40,Windows XP
322629,2006-01-06 16:42:11,Windows 2000
322630,2006-01-06 16:42:32,Windows 2000
322631,2006-01-06 17:07:57,Windows XP
322632,2006-01-06 17:20:07,Windows XP
322633,2006-01-06 17:22:00,Windows XP
322640,2006-01-06 19:07:08,Mac OS X
322643,2006-01-06 20:02:15,Windows 2000
322645,2006-01-06 20:24:06,Windows XP
322648,2006-01-06 21:42:46,Linux
322650,2006-01-06 23:39:45,Windows XP
322651,2006-01-07 00:19:57,Windows XP
322659,2006-01-07 03:45:16,Windows XP
322662,2006-01-07 05:11:15,Linux
322664,2006-01-07 05:46:18,Windows 2000
322665,2006-01-07 06:06:42,Windows XP
322669,2006-01-07 06:25:24,Windows 2000
322671,2006-01-07 06:46:02,Windows 2000
322674,2006-01-07 07:42:55,Windows XP
322675,2006-01-07 07:44:49,Windows XP
322676,2006-01-07 07:57:39,Windows 2000
322679,2006-01-07 08:11:58,Windows XP
322681,2006-01-07 08:21:02,Windows XP
322684,2006-01-07 08:30:34,Mac OS X
322698,2006-01-07 12:39:13,Windows XP
322703,2006-01-07 13:27:20,Linux
322706,2006-01-07 14:02:18,Windows XP
322715,2006-01-07 16:45:06,Windows XP
322722,2006-01-07 19:07:52,MacOS X
322723,2006-01-07 19:27:34,Windows XP
322742,2006-01-08 04:59:55,Mac OS X
322743,2006-01-08 05:03:52,Windows XP
322750,2006-01-08 07:15:52,Windows XP
322755,2006-01-08 08:06:07,Linux
322756,2006-01-08 08:37:58,Windows XP
322757,2006-01-08 09:24:56,Mac OS X
322758,2006-01-08 09:35:24,Windows XP
322775,2006-01-08 14:39:25,Linux
322778,2006-01-08 15:25:26,Mac OS X
322785,2006-01-08 16:26:25,Mac OS X
322791,2006-01-08 18:23:29,Windows XP
322795,2006-01-08 19:56:46,Mac OS X
322801,2006-01-08 21:44:07,Windows 98
322803,2006-01-08 22:08:16,Windows XP
322811,2006-01-09 03:26:35,Linux
322814,2006-01-09 04:39:13,Mac OS X
322817,2006-01-09 05:39:54,Windows XP
322826,2006-01-09 08:16:56,Linux
322829,2006-01-09 08:50:37,Windows XP
322835,2006-01-09 09:48:45,Linux
322843,2006-01-09 11:29:19,Windows XP
322864,2006-01-09 14:50:05,Windows XP
322867,2006-01-09 15:12:34,Windows XP
322868,2006-01-09 15:12:56,Mac OS X
322873,2006-01-09 16:03:09,Windows XP
322876,2006-01-09 16:38:12,Windows 2000
322880,2006-01-09 17:06:00,Windows XP
322883,2006-01-09 17:56:55,Windows XP
322887,2006-01-09 20:00:55,Windows XP
322891,2006-01-09 21:50:40,Windows XP
322892,2006-01-09 22:04:09,Mac OS X
322901,2006-01-10 01:05:24,Windows XP
322902,2006-01-10 01:44:58,Mac System 9.x
322903,2006-01-10 01:46:39,Linux
