Bug_id,Timestamp,Component
322055,2006-01-01 04:28:56,General
322102,2006-01-01 23:26:46,Message Compose Window
322111,2006-01-02 02:05:24,Mail Window Front End
322113,2006-01-02 02:16:45,Security
322121,2006-01-02 07:10:13,Message Compose Window
322126,2006-01-02 08:53:41,Message Compose Window
322140,2006-01-02 11:48:08,General
322153,2006-01-02 14:42:42,Account Manager
322163,2006-01-02 16:15:22,General
322173,2006-01-02 19:32:44,Mail Window Front End
322221,2006-01-03 08:21:03,General
322229,2006-01-03 09:22:42,General
322271,2006-01-03 14:43:00,Address Book
322273,2006-01-03 15:22:12,General
322283,2006-01-03 16:26:26,General
322299,2006-01-03 19:09:03,General
322300,2006-01-03 19:09:37,General
322322,2006-01-04 01:36:02,General
322323,2006-01-04 01:51:28,Account Manager
322330,2006-01-04 02:48:32,Mail Window Front End
322333,2006-01-04 02:51:35,Account Manager
322334,2006-01-04 02:56:11,General
322343,2006-01-04 04:21:11,General
322346,2006-01-04 05:25:38,General
322356,2006-01-04 06:50:34,Mail Window Front End
322361,2006-01-04 07:28:42,Mail Window Front End
322372,2006-01-04 09:11:24,Security
322399,2006-01-04 12:02:04,Mail Window Front End
322408,2006-01-04 14:13:57,Message Compose Window
322449,2006-01-04 23:59:49,Message Compose Window
322464,2006-01-05 04:08:06,Message Compose Window
322465,2006-01-05 04:10:10,Message Compose Window
322470,2006-01-05 04:53:43,General
322472,2006-01-05 04:55:24,Mail Window Front End
322476,2006-01-05 05:39:18,Mail Window Front End
322486,2006-01-05 06:49:05,General
322510,2006-01-05 11:31:04,Mail Window Front End
322524,2006-01-05 14:26:19,Mail Window Front End
322525,2006-01-05 14:51:22,Message Compose Window
322553,2006-01-06 00:30:51,General
322584,2006-01-06 09:21:02,Account Manager
322598,2006-01-06 11:34:05,Message Compose Window
322604,2006-01-06 12:20:55,Mail Window Front End
322605,2006-01-06 12:50:46,Message Compose Window
322611,2007-08-17 05:24:14,General
322628,2006-01-06 16:41:10,Build Config
322635,2006-01-06 18:12:18,Mail Window Front End
322638,2006-01-06 18:40:14,Message Compose Window
322653,2006-01-07 00:49:12,Mail Window Front End
322654,2006-01-07 00:52:22,General
322677,2006-01-07 07:59:01,Message Compose Window
