Bug_id,Timestamp,os
322055,2006-01-01 04:28:56,Windows XP
322102,2006-01-01 23:26:46,Windows XP
322111,2006-01-02 02:05:24,Windows XP
322113,2006-01-02 02:16:45,Linux
322121,2006-01-02 07:10:13,Windows XP
322126,2006-01-02 08:53:41,Linux
322140,2006-01-02 11:48:08,Mac OS X
322153,2006-01-02 14:42:42,Windows XP
322163,2006-01-02 16:15:22,Windows XP
322173,2006-01-02 19:32:44,Windows XP
322221,2006-01-03 08:21:03,Windows XP
322229,2006-01-03 09:22:42,Windows XP
322271,2006-01-03 14:43:00,Windows XP
322273,2006-01-03 15:22:12,Windows XP
322283,2006-01-03 16:26:26,Windows XP
322299,2006-01-03 19:09:03,Windows XP
322300,2006-01-03 19:09:37,Windows XP
322322,2006-01-04 01:36:02,Mac OS X
322323,2006-01-04 01:51:28,Linux
322330,2006-01-04 02:48:32,Windows XP
322333,2006-01-04 02:51:35,Windows XP
322334,2006-01-04 02:56:11,Windows XP
322343,2006-01-04 04:21:11,Windows XP
322346,2006-01-04 05:25:38,Linux
322356,2006-01-04 06:50:34,Windows XP
322361,2006-01-04 07:28:42,Windows XP
322372,2006-01-04 09:11:24,Windows XP
322399,2006-01-04 12:02:04,Windows XP
322408,2006-01-04 14:13:57,Linux
322449,2006-01-04 23:59:49,Windows XP
322464,2006-01-05 04:08:06,Windows XP
322465,2006-01-05 04:10:10,Windows XP
322470,2006-01-05 04:53:43,Linux
322472,2006-01-05 04:55:24,Windows XP
322476,2006-01-05 05:39:18,Windows XP
322486,2006-01-05 06:49:05,Mac OS X
322510,2006-01-05 11:31:04,Windows XP
322524,2006-01-05 14:26:19,All
322525,2006-01-05 14:51:22,Linux
322553,2006-01-06 00:30:51,Linux
322584,2006-01-06 09:21:02,Windows 2000
322598,2006-01-06 11:34:05,Windows 2000
322604,2006-01-06 12:20:55,Windows XP
322605,2006-01-06 12:50:46,Linux
322611,2006-01-06 13:55:40,Windows XP
322628,2006-01-06 16:41:10,Windows XP
322635,2006-01-06 18:12:18,Windows XP
322638,2006-01-06 18:40:14,Windows XP
322653,2006-01-07 00:49:12,All
322654,2006-01-07 00:52:22,All
322677,2006-01-07 07:59:01,Windows XP
322682,2006-01-07 08:23:54,All
322694,2006-01-07 11:33:03,Windows XP
322710,2006-01-07 15:41:27,Windows XP
322713,2006-01-07 16:27:43,Windows XP
322719,2006-01-07 18:49:47,Windows XP
322748,2006-01-08 07:14:23,Windows Server 2003
322752,2006-01-08 07:29:44,Windows XP
322766,2006-01-08 12:30:51,Windows XP
322782,2006-01-08 15:58:49,Windows ME
322789,2006-01-08 17:14:06,Mac OS X
322808,2006-01-08 23:42:34,All
322815,2006-01-09 04:52:20,Mac OS X
322821,2006-01-09 06:22:17,Windows Server 2003
322847,2006-01-09 12:40:33,All
322856,2006-01-09 14:08:00,Windows 2000
322857,2006-01-09 14:10:00,Windows XP
322900,2006-01-10 00:18:32,Windows 2000
322924,2006-01-10 06:06:55,Windows XP
322931,2006-01-10 06:59:28,Other
322933,2006-01-10 07:07:37,Windows XP
322941,2006-01-10 08:15:13,Windows XP
322961,2006-01-10 11:52:45,Windows XP
322980,2006-01-10 13:19:40,Windows 2000
322994,2006-01-10 14:36:56,Windows XP
322995,2006-01-10 14:47:51,Windows XP
323018,2006-01-10 23:16:27,Mac OS X
323042,2006-01-11 06:30:09,Windows XP
323050,2006-01-11 08:32:43,Windows XP
323059,2006-01-11 09:35:58,Windows XP
323068,2006-01-11 11:29:52,Windows XP
323072,2006-01-11 11:51:49,Windows 2000
323101,2006-01-11 16:57:31,All
323118,2006-01-11 21:38:40,Windows 98
323121,2006-01-11 22:28:41,Windows XP
323122,2006-01-11 22:54:08,Windows XP
323125,2006-01-11 23:48:23,Mac OS X
323128,2006-01-12 00:29:14,Linux
323129,2006-01-12 00:30:39,Windows 2000
323139,2006-01-12 03:51:19,Windows XP
323140,2006-01-12 03:54:28,Windows XP
323145,2006-01-12 04:36:04,Windows XP
323149,2006-01-12 04:59:56,Windows XP
323151,2006-01-12 05:14:52,Windows XP
323157,2006-01-12 06:07:56,Mac OS X
323159,2006-01-12 06:21:32,Windows XP
323170,2006-01-12 07:40:09,Mac OS X
323184,2006-01-12 08:59:46,Windows XP
323186,2006-01-12 09:11:13,Windows Server 2003
323191,2006-01-12 09:45:35,Windows XP
323193,2006-01-12 09:58:52,Windows XP
323199,2006-01-12 10:31:36,Linux
323203,2006-01-12 10:52:27,Windows XP
323217,2006-01-12 12:19:27,Windows XP
323220,2006-01-12 12:29:11,Windows XP
323226,2006-01-12 13:14:29,Windows XP
323248,2006-01-12 16:03:25,Windows XP
323253,2006-01-12 17:22:00,Windows XP
