Bug_id,Timestamp,Severity
322055,2006-01-01 16:08:35,normal
322102,2006-01-01 23:26:46,normal
322111,2006-01-02 02:05:24,normal
322113,2006-01-02 02:16:45,normal
322121,2006-01-02 07:10:13,normal
322126,2006-01-02 08:53:41,major
322140,2006-01-02 11:48:08,critical
322153,2006-01-02 14:42:42,normal
322163,2006-01-02 16:15:22,normal
322173,2006-01-02 19:32:44,major
322221,2006-01-03 13:21:11,blocker
322229,2006-01-03 09:22:42,normal
322271,2006-01-03 14:43:00,normal
322273,2006-01-03 15:22:12,normal
322283,2006-01-03 16:26:26,critical
322299,2006-01-03 19:09:03,normal
322300,2006-01-03 19:09:37,normal
322322,2006-01-04 01:36:02,major
322323,2006-01-04 01:51:28,normal
322330,2006-01-04 02:48:32,minor
322333,2006-01-04 02:51:35,trivial
322334,2006-01-04 02:56:11,minor
322343,2006-01-04 04:21:11,critical
322346,2006-01-04 06:01:51,normal
322356,2006-01-04 06:50:34,normal
322361,2006-01-04 07:28:42,normal
322372,2006-01-04 09:11:24,normal
322399,2006-01-04 12:02:04,normal
322408,2006-01-04 14:13:57,critical
322449,2006-01-04 23:59:49,minor
322464,2006-01-05 04:08:06,normal
322465,2006-01-05 04:10:10,normal
322470,2006-01-05 04:53:43,normal
322472,2006-01-05 08:12:05,trivial
322476,2006-01-05 05:39:18,normal
322486,2006-01-05 06:49:05,normal
322510,2006-01-05 11:31:04,major
322524,2006-01-05 14:26:19,critical
322525,2006-01-05 14:51:22,normal
322553,2006-01-06 00:30:51,normal
322584,2006-01-06 09:21:02,major
322598,2006-01-06 11:34:05,critical
322604,2006-01-06 12:20:55,normal
322605,2006-01-06 12:50:46,minor
322611,2006-01-06 13:55:40,major
322628,2007-04-14 06:56:20,major
322635,2006-01-06 18:12:18,normal
322638,2006-01-06 18:40:14,major
322653,2006-01-07 00:49:12,normal
322654,2008-03-30 04:08:17,minor
322677,2006-01-07 07:59:01,normal
322682,2006-01-07 08:23:54,normal
